,Unnamed: 0,iB0,iB1,iB2,Date,LaunchTime,Phip,SondeSerial,SondeType,Pump_loc,SensorResponseType,OzoneScaling,SolutionConcentration,GroundPressureSensorCorrection,10hPaPressureSensorCorrection,TemperatureSensorCorrection,HumiditySensorCorrection,HumiditySensorCorrection2,TOF,TOA,NormalizationFactor,PumpCorrectionFile,PumpcoefficientPC1,PumpcoefficientPC2,PumpcoefficientPC3,PumpCorrectionCorrelation,ExtrapolationTechnique,Dobson,TLab,ULab,RH_correction
28,0,-999.99,-999.99,0.135,1986-11-13,08:19:00,29.2,4A2688,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,287.45,351.06,1.0775,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
29,0,-999.99,-999.99,0.08,1986-11-19,08:55:00,27.4,4A2690,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,261.22,318.4,0.9677,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
30,0,-999.99,-999.99,0.113,1986-11-26,09:13:00,28.5,4A2691,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,222.69,293.65,1.0992,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
31,0,-999.99,-999.99,0.062,1986-12-02,11:18:00,28.13,4A2692,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,258.16,316.39,1.0292,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
32,0,-999.99,-999.99,0.03,1986-12-09,10:26:00,28.1,4A2693,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,225.68,283.32,1.0181,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
33,0,-999.99,-999.99,0.044,1986-12-16,10:05:00,27.37,4A2695,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,228.72,288.13,1.0355,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
34,0,-999.99,-999.99,0.074,1986-12-23,10:25:00,27.6,4A2674,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,194.84,275.52,1.1601,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
35,0,-999.99,-999.99,0.118,1986-12-30,08:10:00,28.87,4A2677,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,243.57,323.71,1.0495,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
36,0,-999.99,-999.99,0.03,1987-01-06,08:04:00,28.23,4A2676,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,196.3,248.18,1.0646,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
37,0,-999.99,-999.99,0.059,1987-01-13,09:03:00,28.47,4A2681,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,194.29,256.99,1.0161,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
38,0,-999.99,-999.99,0.06,1987-01-20,07:56:00,29.0,4A2696,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,216.25,287.15,1.0293,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
39,0,-999.99,-999.99,0.014,1987-01-27,09:04:00,27.0,4A2699,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,151.31,247.01,1.0902,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
40,0,-999.99,-999.99,0.103,1987-02-03,09:06:00,28.3,4A2600,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,205.59,252.59,1.1032,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
41,0,-999.99,-999.99,0.083,1987-02-10,08:48:00,31.6,4A2643,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,212.44,266.94,1.0319,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
42,0,-999.99,-999.99,0.146,1987-02-17,08:33:00,29.7,4A2598,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,208.38,242.18,1.1531,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
43,0,-999.99,-999.99,0.073,1987-02-24,08:53:00,26.8,4A2919,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,202.54,264.78,1.0346,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
44,0,-999.99,-999.99,0.09,1987-03-03,09:43:00,27.0,4A2893,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,75.09,,,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
45,0,-999.99,-999.99,0.139,1987-03-13,14:12:00,27.6,4A2895,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,231.59,286.13,0.9425,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
46,0,-999.99,-999.99,0.203,1987-03-17,10:46:00,26.8,4A2891,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,223.02,275.9,0.9797,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
47,0,-999.99,-999.99,0.137,1987-03-24,10:06:00,28.1,4A2896,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,232.31,278.47,1.0389,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
48,0,-999.99,-999.99,0.073,1987-03-31,10:26:00,26.4,4A2909,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,89.57,,,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
49,0,-999.99,-999.99,0.119,1987-04-07,09:21:00,27.0,4A2910,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,223.32,277.22,0.9577,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
50,0,-999.99,-999.99,0.084,1987-04-14,09:15:00,26.1,4A2912,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,201.92,245.12,0.9855,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
51,0,-999.99,-999.99,0.053,1987-04-22,10:54:00,26.9,4A2913,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,256.79,313.29,0.9526,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
52,0,-999.99,-999.99,0.104,1987-04-29,09:31:00,27.1,4A2915,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,205.57,260.51,0.9563,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
53,0,-999.99,-999.99,0.09,1987-05-05,09:56:00,26.8,4A2914,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,226.3,282.24,1.0098,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
54,0,-999.99,-999.99,0.074,1987-05-13,12:47:00,27.57,4A2874,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,207.85,275.7,0.9815,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
55,0,-999.99,-999.99,0.181,1987-05-19,09:52:00,26.53,4A2876,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,226.07,296.47,1.0469,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
56,0,-999.99,-999.99,0.084,1987-05-26,10:41:00,26.43,4A2610,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,229.84,276.26,1.0178,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
57,0,-999.99,-999.99,0.084,1987-06-04,09:36:00,27.17,4A2877,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,309.0,373.99,1.0227,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
58,0,-999.99,-999.99,0.173,1987-06-09,10:41:00,26.73,4A2873,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,202.91,263.2,0.991,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
59,0,-999.99,-999.99,0.136,1987-06-16,10:40:00,27.33,4A2880,SPC,4A,-999.99,0.9743,10.0,none,none,none,none,none,247.29,327.12,0.965,OZPUMPCF.CUB,-0.495597,0.108781,-0.0081044,0.9995,Lauder Microwave Radiometer climatology 1992-1998 (mmclim.pro Feb 2000),,,,
